DX,DATE,UTC,FREQUENCY,MODE,RST,WKD,PATH,SUBMITTER,REMARKS,SQSL,RQSL,QSL_info
26TS755,27/05/2025,16:42,27540,USB,5/6,WKD,SP,30AT213,,,,
29LR002,27/05/2025,16:32,27540,USB,5/7,WKD,SP,30AT213,,2025-05-27,,
68AT109,27/05/2025,19:32,27540,USB,5/7,WKD,SP,30AT213,,,,
163CT192,27/05/2025,16:17,27570,USB,5/5,WKD,SP,30AT213,,2025-05-27,,
26WWU265,27/05/2025,19:30,27570,USB,5/6,WKD,SP,30AT213,,,,
26BK001,27/05/2025,19:29,27570,USB,5/4,WKD,SP,30AT213,,2025-05-27,2025-06-06,
26CB172,27/05/2025,19:28,27570,USB,5/5,WKD,SP,30AT213,,,,
115EK115,27/05/2025,17:53,27545,USB,5/7,WKD,SP,30AT213,"Thanks 73’s",2025-05-27,,
26LR133,27/05/2025,17:44,27545,USB,5/4,WKD,SP,30AT213,,2025-05-27,,
1AT029,25/05/2025,18:46,27570,USB,5/9+10dB,WKD,SP,30AT213,"Gracias 73's",2025-05-26,,
1AT1260,25/05/2025,18:42,27575,USB,5/9+40,WKD,SP,30AT213,"Gracias 73's",,,
178EK011,25/05/2025,18:25,27510,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
3KPI001,25/05/2025,18:13,27500,USB,5/8,WKD,SP,30AT213,"Gracias 73's",,,
3OD105,25/05/2025,18:03,27620,USB,5/5,WKD,SP,30AT213,"Gracias 73's",2025-05-26,,
30EK999,25/05/2025,18:01,27500,USB,5/8,WKD,SP,30AT213,"Gracias 73's",2025-05-26,2025-06-09,
50EK010,25/05/2025,17:55,27590,USB,5/9,WKD,SP,30AT213,"Thanks 73's",2025-05-26,2025-07-07,
13TW227,25/05/2025,17:32,27410,USB,5/5,WKD,SP,30AT213,"Thanks 73's",,,
14AR3347,25/05/2025,17:32,27550,USB,5/5,WKD,SP,30AT213,"Gracias 73's",,,
112AT149,25/05/2025,17:07,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-05-26,2025-05-26,
1AT485,25/05/2025,17:02,27620,USB,5/5,WKD,SP,30AT213,"Gracias 73's",2025-05-26,2025-05-31,
34AB138,23/05/2025,21:38,27517,USB,5/9+40dB,WKD,SP,30AT213,"Thanks 73's",2025-05-26,,
26RC/OX1,23/05/2025,15:06,27510,USB,5/6,WKD,SP,30AT213,"Thanks 73's",,,
1SD290,23/05/2025,15:02,27570,USB,5/9+40dB,WKD,SP,30AT213,"Gracias 73's",2025-05-26,,
26AT349,23/05/2025,14:54,27570,USB,5/6,WKD,SP,30AT213,"Thanks 73's",,,
1AT/G267,23/05/2025,14:49,27690,USB,5/7,WKD,SP,30AT213,"Gracias 73's",,,
26SW101,23/05/2025,14:28,27500,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-05-26,,
112AT149,23/05/2025,14:21,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-05-26,2025-05-26,
26CV001,23/05/2025,11:51,27570,USB,3/5,WKD,SP,30AT213,"Thanks 73's",,,
40PAT010,23/05/2025,14:03,27515,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
14VD001,23/05/2025,14:02,27430,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-05-26,2025-05-27,
13RF1986,22/02/2025,11:56,27560,USB,5/3,WKD,SP,30AT213,"Thanks 73's",2025-06-30,,
26AT561,22/05/2025,11:51,27560,USB,5/2,WKD,SP,30AT213,"Thanks 73's",2025-05-26,,
1RC325,22/05/2025,11:45,27560,USB,5/8,WKD,SP,30AT213,"Gracias 73's",2025-05-26,,
35RC/000,22/05/2025,11:41,27630,USB,5/5,WKD,SP,30AT213,"Thanks 73's",,,
34AT024,21/05/2025,19:32,27490,USB,5/1,WKD,SP,30AT213,"Gracias 73's pACO",2025-05-26,,
50LR005,21/05/2025,18:46,27560,USB,5/8,WKD,SP,30AT213,"Thanks 73's",,,
12AT147,23/05/2025,20:53,27570,USB,5/3,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-24,2025-05-24,
1AT879,22/05/2025,11:37,27640,USB,5/5,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-22,2025-05-22,
14VD163,16/05/2025,17:01,27540,USB,5/9,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
14AT021,16/05/2025,16:51,27540,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
14EK034,16/05/2025,16:50,27540,USB,5/9,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
1WM245,16/05/2025,16:38,27565,USB,5/6,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
1WM304,16/05/2025,16:34,27565,USB,5/5,WKD,SP,30AT213,"Gracias 73's",,,
1SD120,16/05/2025,16:31,27565,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
14RO520,16/05/2025,16:24,27540,USB,5/5,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
14VD066,16/05/2025,16:15,27450,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
1AT029,16/05/2025,16:09,27525,USB,5/9,WKD,SP,30AT213,,2025-05-20,,
1LR023,16/05/2025,15:55,27525,USB,5/8,WKD,SP,30AT213,"Gracias 73's",,,
